"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"148","Dandume","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2020,-1,"Scenario 1"
"149","Dange-Shnsi","Gawabawa",NA,0.125,0.125,0.49,0,-1,2020,-1,"Scenario 1"
"150","Danja","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2020,-1,"Scenario 1"
"151","Darazo","Darazo",NA,0.161152612,0.161152612,0.49,0,-1,2020,-1,"Scenario 1"
"152","Dass","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2020,-1,"Scenario 1"
"153","Daura","Babura",NA,0.202230441,0.202230441,0.49,0,-1,2020,-1,"Scenario 1"
"154","Dawakin Kudu","Gwarzo",NA,0.272727273,0.272727273,0.49,0,-1,2020,-1,"Scenario 1"
"155","Dawakin Tofa","Taura",NA,0.181818182,0.181818182,0.49,0,-1,2020,-1,"Scenario 1"
"156","Degema","Ahoada West",NA,0.25,0.25,0.49,0,-1,2020,-1,"Scenario 1"
"157","Dekina","Owan East",NA,0.190297763,0.190297763,0.49,0,-1,2020,-1,"Scenario 1"
"158","Demsa","Alkaleri",NA,0.701986849,0.701986849,0.49,0,-1,2020,-1,"Scenario 1"
"159","Dikwa","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"160","Doguwa","Giwa",NA,0.130434783,0.130434783,0.49,0,-1,2020,-1,"Scenario 1"
"161","Doma","Keana",NA,0.177187213,0.177187213,0.49,0,-1,2020,-1,"Scenario 1"
"162","Donga","Keana",NA,0.284919607,0.284919607,0.49,0,-1,2020,-1,"Scenario 1"
"163","Dukku","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"164","Dunukofia","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"165","Dutse","Takali",NA,0.148488039,0.148488039,0.49,0,-1,2020,-1,"Scenario 1"
"166","Dutsi","Rimi",NA,0.230769231,0.230769231,0.49,0,-1,2020,-1,"Scenario 1"
"167","Dutsin-Ma","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2020,-1,"Scenario 1"
"168","Eastern Obolo","Nsit Ubium",NA,0.6,0.6,0.49,0,-1,2020,-1,"Scenario 1"
"169","Ebonyi","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"170","Edati","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"171","Ede North","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"172","Ede South","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"173","Edu","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"174","Efon-Alayee","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"175","Egbado North","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"176","Egbado South","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"177","Egbeda","Akinyele",NA,0.107316809,0.107316809,0.49,0,-1,2020,-1,"Scenario 1"
"178","Egbedore","Akinyele",NA,0.54187193,0.54187193,0.49,0,-1,2020,-1,"Scenario 1"
"179","Egor","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"180","Ehime-Mbano","Ngor-Okpala",NA,0.591374486,0.591374486,0.49,0,-1,2020,-1,"Scenario 1"
"181","Ejigbo","Akinyele",NA,0.215907256,0.215907256,0.49,0,-1,2020,-1,"Scenario 1"
"182","Ekeremor","Ahoada West",NA,0.205928424,0.205928424,0.49,0,-1,2020,-1,"Scenario 1"
"183","Eket","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2020,-1,"Scenario 1"
"184","Ekiti","Oke-Ero",NA,0.744393955,0.744393955,0.49,0,-1,2020,-1,"Scenario 1"
"185","Ekiti East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"186","Ekiti South West","Oke-Ero",NA,0.462500057,0.462500057,0.49,0,-1,2020,-1,"Scenario 1"
"187","Ekiti West","Oke-Ero",NA,0.162213602,0.162213602,0.49,0,-1,2020,-1,"Scenario 1"
"188","Ekwusigo","Oru West",NA,0.75,0.75,0.49,0,-1,2020,-1,"Scenario 1"
"189","Eleme","Ahoada West",NA,0.151693513,0.151693513,0.49,0,-1,2020,-1,"Scenario 1"
"190","Emohua","Ahoada West",NA,0.166666667,0.166666667,0.49,0,-1,2020,-1,"Scenario 1"
"191","Emure","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
